pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
42.76125,-42.94125,90.0,bottom,D1,,,DIODE-1N4148,D_Small,tht
243.0,-37.6275,-90.0,bottom,D10,,,DIODE-1N4148,D_Small,tht
165.115,-36.5775,0.0,top,D103,,,LED_D5.0mm,LED,tht
180.415,-63.0775,0.0,top,D104,,,LED_D5.0mm,LED,tht
190.985,-88.6425,0.0,top,D105,,,LED_D5.0mm,LED,tht
169.82,-87.9425,0.0,top,D106,,,LED_D5.0mm,LED,tht
261.385,-41.1975,-90.0,bottom,D11,,,DIODE-1N4148,D_Small,tht
280.0,-42.1275,-90.0,bottom,D12,,,DIODE-1N4148,D_Small,tht
299.0,-44.6275,90.0,bottom,D13,,,DIODE-1N4148,D_Small,tht
27.0,-62.6225,-90.0,bottom,D14,,,DIODE-1N4148,D_Small,tht
61.76625,-61.94625,90.0,bottom,D15,,,DIODE-1N4148,D_Small,tht
80.77125,-62.6275,-90.0,bottom,D16,,,DIODE-1N4148,D_Small,tht
100.0,-51.1275,90.0,bottom,D17,,,DIODE-1N4148,D_Small,tht
118.78125,-55.0425,-90.0,bottom,D18,,,DIODE-1N4148,D_Small,tht
139.5,-59.6275,90.0,bottom,D19,,,DIODE-1N4148,D_Small,tht
61.76625,-43.5925,-90.0,bottom,D2,,,DIODE-1N4148,D_Small,tht
223.70875,-61.3075,-90.0,bottom,D20,,,DIODE-1N4148,D_Small,tht
242.18375,-51.1275,90.0,bottom,D21,,,DIODE-1N4148,D_Small,tht
261.71875,-51.8875,-90.0,bottom,D22,,,DIODE-1N4148,D_Small,tht
280.95375,-54.2275,90.0,bottom,D23,,,DIODE-1N4148,D_Small,tht
299.47375,-62.6425,-90.0,bottom,D24,,,DIODE-1N4148,D_Small,tht
318.42375,-82.0725,-90.0,bottom,D25,,,DIODE-1N4148,D_Small,tht
336.5,-90.1275,-90.0,bottom,D26,,,DIODE-1N4148,D_Small,tht
302.0,-58.4375,90.0,bottom,D27,,,DIODE-1N4148,D_Small,tht
362.11375,-55.3775,90.0,bottom,D28,,,DIODE-1N4148,D_Small,tht
371.91375,-103.9825,180.0,bottom,D29,,,DIODE-1N4148,D_Small,tht
80.77125,-41.9075,90.0,bottom,D3,,,DIODE-1N4148,D_Small,tht
27.0,-80.95125,90.0,bottom,D30,,,DIODE-1N4148,D_Small,tht
61.76625,-80.95125,-90.0,bottom,D31,,,DIODE-1N4148,D_Small,tht
80.5,-75.6275,90.0,bottom,D32,,,DIODE-1N4148,D_Small,tht
100.0,-74.3175,-90.0,bottom,D33,,,DIODE-1N4148,D_Small,tht
118.78125,-71.44875,90.0,bottom,D34,,,DIODE-1N4148,D_Small,tht
138.0,-79.1275,-90.0,bottom,D35,,,DIODE-1N4148,D_Small,tht
223.55875,-75.3625,90.0,bottom,D36,,,DIODE-1N4148,D_Small,tht
242.76375,-72.2225,-90.0,bottom,D37,,,DIODE-1N4148,D_Small,tht
261.79875,-70.0825,90.0,bottom,D38,,,DIODE-1N4148,D_Small,tht
281.33875,-74.3025,-90.0,bottom,D39,,,DIODE-1N4148,D_Small,tht
99.77625,-33.7675,-90.0,bottom,D4,,,DIODE-1N4148,D_Small,tht
299.75875,-81.2375,90.0,bottom,D40,,,DIODE-1N4148,D_Small,tht
319.53875,-102.5225,-90.0,bottom,D41,,,DIODE-1N4148,D_Small,tht
326.63375,-110.3425,180.0,bottom,D42,,,DIODE-1N4148,D_Small,tht
324.17375,-129.0125,180.0,bottom,D43,,,DIODE-1N4148,D_Small,tht
249.59875,-139.1825,-90.0,bottom,D44,,,DIODE-1N4148,D_Small,tht
168.54,-99.0125,0.0,top,D45,,,LED_D5.0mm,LED,tht
27.0,-101.1275,-90.0,bottom,D46,,,DIODE-1N4148,D_Small,tht
61.5,-99.1275,90.0,bottom,D47,,,DIODE-1N4148,D_Small,tht
81.0,-98.1275,-90.0,bottom,D48,,,DIODE-1N4148,D_Small,tht
100.0,-89.6275,90.0,bottom,D49,,,DIODE-1N4148,D_Small,tht
118.78125,-38.19,90.0,bottom,D5,,,DIODE-1N4148,D_Small,tht
118.78125,-92.6275,-90.0,bottom,D50,,,DIODE-1N4148,D_Small,tht
138.5,-95.6275,90.0,bottom,D51,,,DIODE-1N4148,D_Small,tht
223.49375,-94.6475,-90.0,bottom,D52,,,DIODE-1N4148,D_Small,tht
242.75875,-86.9425,90.0,bottom,D53,,,DIODE-1N4148,D_Small,tht
